Job,x,y,z,theta,phi,I,u,v
Retangular_510_MINUS304_401pts,510.0,-304.86625,44.59135295,4.07607829,145.08422394,50.0473392083283,-0.0787,0.04749999999999999
Retangular_270_MINUS304_401pts,270.0,-304.86625,15.71811112,2.66563388,137.52705889,50.35953416429078,-0.041800000000000004,0.04749999999999999
Retangular_30_MINUS304_401pts,30.0,-304.86625,7.91709484,2.41193744,93.45181427,50.484535569015144,-0.0040000000000000036,0.04749999999999999
Retangular_MINUS210_MINUS304_401pts,-210.0,-304.86625,23.36712928,3.28228879,49.74101367,50.482394297305135,0.032899999999999985,0.04749999999999999
Retangular_MINUS450_MINUS304_401pts,-450.0,-304.86625,55.63501811,5.02179851,25.02017254,50.25265666639947,0.0716,0.04749999999999999
Retangular_MINUS690_MINUS304_401pts,-690.0,-304.86625,89.67552498,7.15339301,19.65812259,49.91214753685441,0.10939999999999997,0.048000000000000015
Retangular_MINUS930_MINUS304_401pts,-930.0,-304.86625,101.83138369,8.97781174,15.76683388,49.3973956450038,0.1481,0.04749999999999999
Retangular_390_MINUS110_401pts,390.0,-110.86125,15.20353847,2.3441875,157.08333079,50.31336565282448,-0.060700000000000004,0.017499999999999988
Retangular_150_MINUS110_401pts,150.0,-110.86125,-0.12719265,1.59544546,121.75762408,50.51649411028233,-0.022900000000000018,0.017499999999999988
Retangular_MINUS90_MINUS110_401pts,-90.0,-110.86125,7.78022685,2.01487151,70.63720544,50.600828826314334,0.013999999999999985,0.017499999999999988
Retangular_MINUS330_MINUS110_401pts,-330.0,-110.86125,36.79861354,3.45867026,31.47605658,50.50375918438101,0.051799999999999985,0.017499999999999988
Retangular_MINUS570_MINUS110_401pts,-570.0,-110.86125,76.18874766,5.56086116,13.77141109,50.2002047451112,0.0905,0.017499999999999988
Retangular_MINUS810_MINUS110_401pts,-810.0,-110.86125,106.59937932,7.73327673,8.76364557,49.766457419123185,0.12919999999999998,0.017499999999999988
Retangular_MINUS1050_MINUS110_401pts,-1050.0,-110.86125,100.0672262,9.16556328,10.56367995,49.113665959107564,0.16699999999999998,0.017499999999999988
Retangular_330_110_401pts,330.0,110.86125,9.39975644,2.04796139,-151.93686042,50.371430568544575,-0.05080000000000001,-0.0175
Retangular_90_110_401pts,90.0,110.86125,-0.39299988,1.59259861,-109.06210874,50.56315189451922,-0.01390000000000001,-0.0175
Retangular_MINUS150_110_401pts,-150.0,110.86125,13.32798554,2.29028171,-59.04273369,50.58024221754166,0.023899999999999977,-0.0175
Retangular_MINUS390_110_401pts,-390.0,110.86125,46.28252123,3.94166874,-25.06851156,50.43669507068569,0.06169999999999998,-0.0175
Retangular_MINUS630_110_401pts,-630.0,110.86125,85.57837979,6.12523242,-12.07246355,50.0951112503659,0.10039999999999999,-0.0175
Retangular_MINUS870_110_401pts,-870.0,110.86125,109.71130313,8.19725879,-6.73076401,49.611894956540034,0.1382,-0.0175
Retangular_MINUS1110_110_401pts,-1110.0,110.86125,88.56500087,9.29184753,-22.53723228,48.791074892076686,0.176,-0.0175
Retangular_450_304_401pts,450.0,304.86625,35.8405432,3.62153782,-149.32189682,50.14203550909484,-0.06970000000000001,-0.04750000000000001
Retangular_210_304_401pts,210.0,304.86625,11.56006271,2.49122075,-128.1790711,50.38600858385575,-0.03280000000000001,-0.04750000000000001
Retangular_MINUS30_304_401pts,-30.0,304.86625,9.70391668,2.53029745,-81.45041879,50.520550691166754,0.0050000000000000044,-0.04750000000000001
Retangular_MINUS270_304_401pts,-270.0,304.86625,30.29793287,3.65051825,-41.45407157,50.45148559263044,0.042800000000000005,-0.04750000000000001
Retangular_MINUS510_304_401pts,-510.0,304.86625,64.75589628,5.54145005,-22.251526,50.18535708224354,0.08059999999999998,-0.04750000000000001
Retangular_MINUS750_304_401pts,-750.0,304.86625,95.87956614,7.6704717,-19.64734512,49.816495554349835,0.11929999999999999,-0.048
Retangular_MINUS990_304_401pts,-990.0,304.86625,97.85866817,9.28277606,-11.18929411,49.20822955164376,0.15709999999999996,-0.04750000000000001
